# t (s),mx (),my (),mz (),B_extx (T),B_exty (T),B_extz (T),B_anisx (T),B_anisy (T),B_anisz (T),B_demagx (T),B_demagy (T),B_demagz (T),B_effx (T),B_effy (T),B_effz (T),B_exchx (T),B_exchy (T),B_exchz (T),B_customx (T),B_customy (T),B_customz (T),E_anis (J),E_demag (J),E_exch (J),E_total (J),E_Zeeman (J),E_mel (J),E_custom (J),Edens_anis (J/m3),Edens_custom (J/m3),Edens_demag (J/m3),Edens_exch (J/m3),Edens_mel (J/m3),Edens_total (J/m3),Edens_Zeeman (J/m3),ExchCoupling (arb.),F_melx (N/m3),F_mely (N/m3),F_melz (N/m3),Edens_mel (J/m3),ExchCoupling (arb.)
4.97,0.98835474,1.00E-03,-7.07E-05,0.1,0,0,0,0,-8.84E-08,-0.055614967,-7.84E-06,5.08E-05,0.044385027,-7.84E-06,5.07E-05,0.00E+00,3.26E-11,-3.26E-11,0.00E+00,0.00E+00,0.00E+00,-1.41E-23,8.58E-18,2.40E-19,-2.28E-17,-3.16E-17,0,0,-0.03517022,0,21447.135,599.6089,0,-57021.664,-79068.37,7.80E-11,0,0,0,0,7.80E-11
4.98,0.9883437,0.001197182,-0.00021177,0.10000001,0,0,0,0,-2.65E-07,-0.055613626,-2.11E-05,0.000172796,0.04438637,-2.11E-05,0.000172531,2.33E-11,-6.52E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.40E-23,8.58E-18,2.41E-19,-2.28E-17,-3.16E-17,0,0,-0.035098054,0,21443.977,601.84985,0,-57021.7,-79067.5,7.80E-11,0,0,0,0,7.80E-11
4.99,0.9883154,0.00156241,-0.000293029,0.1,0,0,0,0,-3.66E-07,-0.055608578,-4.68E-05,0.000249401,0.044391427,-4.68E-05,0.000249034,0.00E+00,-4.66E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.40E-23,8.58E-18,2.42E-19,-2.28E-17,-3.16E-17,0,0,-0.03493035,0,21439.574,603.9614,0,-57021.734,-79065.23,7.80E-11,0,0,0,0,7.80E-11
5,0.9882663,0.002026622,-0.000294358,0.10000001,0,0,0,0,-3.68E-07,-0.055598684,-7.34E-05,0.000258893,0.044401318,-7.34E-05,0.000258525,1.16E-11,-6.52E-11,-2.33E-11,0.00E+00,0.00E+00,0.00E+00,-1.40E-23,8.57E-18,2.42E-19,-2.28E-17,-3.16E-17,0,0,-0.035037633,0,21434.006,605.57404,0,-57021.76,-79061.3,7.80E-11,0,0,0,0,7.80E-11
5.01,0.9854756,0.002650116,-0.000623474,0,0,0,0,0,-7.79E-07,-0.054978535,-9.88E-05,0.000533744,-0.054978535,-9.88E-05,0.000532965,-3.73E-11,-4.19E-11,3.73E-11,0.00E+00,0.00E+00,0.00E+00,-1.66E-22,8.53E-18,2.81E-19,8.81E-18,0,0,0,-0.41508433,0,21332.453,702.82404,0,22034.86,0,7.80E-11,0,0,0,0,7.80E-11
5.02,0.9772763,0.003550091,-0.00093744,0,0,0,0,0,-1.17E-06,-0.05321927,-1.33E-04,0.000791503,-0.053219274,-1.33E-04,0.000790332,1.86E-11,6.52E-11,-4.66E-12,0.00E+00,0.00E+00,0.00E+00,-5.34E-22,8.41E-18,4.01E-19,8.81E-18,0,0,0,-1.3343582,0,21022.342,1003.18243,0,22024.193,0,7.80E-11,0,0,0,0,7.80E-11
5.03,0.9601324,0.004815042,-0.001243988,0,0,0,0,0,-1.55E-06,-0.049809188,-1.86E-04,0.001046501,-0.049809195,-1.86E-04,0.001044947,1.86E-11,-9.31E-12,-6.52E-11,0.00E+00,0.00E+00,0.00E+00,-1.01E-21,8.15E-18,6.49E-19,8.80E-18,0,0,0,-2.5354292,0,20381.943,1621.3198,0,22000.727,0,7.80E-11,0,0,0,0,7.80E-11
5.04,0.9332524,0.006214577,-0.001384084,0,0,0,0,0,-1.73E-06,-0.04501261,-2.55E-04,0.001176735,-0.045012612,-2.55E-04,0.001175005,-5.59E-11,-3.26E-11,-9.31E-12,0.00E+00,0.00E+00,0.00E+00,-1.26E-21,7.77E-18,1.01E-18,8.79E-18,0,0,0,-3.1383286,0,19435.479,2532.1062,0,21964.447,0,7.80E-11,0,0,0,0,7.80E-11
5.05,0.9027064,0.00742056,-0.001272377,0,0,0,0,0,-1.59E-06,-0.04028855,-3.23E-04,0.001103154,-0.04028855,-3.23E-04,0.001101564,-1.86E-11,4.66E-11,-2.79E-11,0.00E+00,0.00E+00,0.00E+00,-1.08E-21,7.38E-18,1.39E-18,8.77E-18,0,0,0,-2.7014968,0,18456.412,3472.3127,0,21926.023,0,7.80E-11,0,0,0,0,7.80E-11
5.06,0.871491,0.008510466,-9.51E-04,0,0,0,0,0,-1.19E-06,-0.03635887,-3.91E-04,0.000847027,-0.03635887,-3.91E-04,0.000845839,-3.73E-11,2.79E-11,-1.02E-10,0.00E+00,0.00E+00,0.00E+00,-6.54E-22,7.04E-18,1.72E-18,8.76E-18,0,0,0,-1.6352443,0,17601.842,4289.615,0,21889.82,0,7.80E-11,0,0,0,0,7.80E-11
5.07,0.8524268,0.009318334,-6.20E-04,0,0,0,0,0,-7.76E-07,-0.03474894,-4.41E-04,5.69E-04,-0.03474894,-4.41E-04,5.68E-04,-7.45E-11,2.79E-11,-1.86E-11,0.00E+00,0.00E+00,0.00E+00,-3.54E-22,6.91E-18,1.84E-18,8.75E-18,0,0,0,-0.8859002,0,17275.396,4591.598,0,21866.107,0,7.80E-11,0,0,0,0,7.80E-11
5.08,0.84725916,0.010018868,-3.61E-04,0,0,0,0,0,-4.52E-07,-0.035221793,-4.76E-04,3.47E-04,-0.035221793,-4.76E-04,3.46E-04,-1.86E-10,6.98E-11,-5.59E-11,0.00E+00,0.00E+00,0.00E+00,-2.94E-22,7.00E-18,1.74E-18,8.74E-18,0,0,0,-0.73501426,0,17491.998,4356.1846,0,21847.445,0,7.80E-11,0,0,0,0,7.80E-11
5.09,0.8562754,0.010571098,-2.73E-04,0,0,0,0,0,-3.41E-07,-0.037103623,-4.86E-04,2.69E-04,-0.037103623,-4.86E-04,2.68E-04,-3.73E-11,3.73E-11,1.30E-10,0.00E+00,0.00E+00,0.00E+00,-4.24E-22,7.21E-18,1.52E-18,8.73E-18,0,0,0,-1.0593517,0,18025.297,3806.1243,0,21830.363,0,7.80E-11,0,0,0,0,7.80E-11
5.1,0.87638795,0.011205174,-3.65E-04,0,0,0,0,0,-4.56E-07,-0.039880708,-4.75E-04,3.39E-04,-0.039880708,-4.75E-04,3.39E-04,-1.12E-10,6.75E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-5.97E-22,7.46E-18,1.27E-18,8.72E-18,0,0,0,-1.4914774,0,18644.566,3163.9082,0,21806.984,0,7.80E-11,0,0,0,0,7.80E-11
5.11,0.8991437,0.011996025,-6.25E-04,0,0,0,0,0,-7.81E-07,-0.042557396,-4.66E-04,5.43E-04,-0.042557396,-4.66E-04,5.42E-04,-7.45E-11,0.00E+00,1.12E-10,0.00E+00,0.00E+00,0.00E+00,-7.08E-22,7.64E-18,1.07E-18,8.71E-18,0,0,0,-1.7701188,0,19099.49,2681.8782,0,21779.596,0,7.80E-11,0,0,0,0,7.80E-11
5.12,0.9225996,0.013276921,-1.07E-03,0,0,0,0,0,-1.33E-06,-0.04513834,-4.88E-04,8.85E-04,-0.04513834,-4.88E-04,8.84E-04,-3.73E-11,9.31E-12,4.66E-11,0.00E+00,0.00E+00,0.00E+00,-7.02E-22,7.73E-18,9.74E-19,8.70E-18,0,0,0,-1.7547927,0,19312.86,2434.103,0,21745.207,0,7.80E-11,0,0,0,0,7.80E-11
5.13,0.9409269,0.015092325,-1.58E-03,0,0,0,0,0,-1.97E-06,-0.047135662,-5.65E-04,1.27E-03,-0.047135666,-5.65E-04,1.27E-03,-2.79E-11,1.82E-10,3.73E-11,0.00E+00,0.00E+00,0.00E+00,-6.07E-22,7.72E-18,9.68E-19,8.68E-18,0,0,0,-1.5163453,0,19292.36,2420.9976,0,21711.838,0,7.80E-11,0,0,0,0,7.80E-11
5.14,0.9517487,0.017124591,-2.01E-03,0,0,0,0,0,-2.51E-06,-0.04834186,-6.82E-04,1.58E-03,-0.04834186,-6.82E-04,1.58E-03,-1.86E-11,-2.56E-11,5.59E-11,0.00E+00,0.00E+00,0.00E+00,-5.73E-22,7.73E-18,9.45E-19,8.67E-18,0,0,0,-1.433032,0,19321.99,2362.3547,0,21682.912,0,7.80E-11,0,0,0,0,7.80E-11
5.15,0.95558137,0.019574778,-2.44E-03,0,0,0,0,0,-3.06E-06,-0.048894238,-8.39E-04,1.92E-03,-0.048894238,-8.39E-04,1.91E-03,2.56E-11,1.86E-11,1.12E-10,0.00E+00,0.00E+00,0.00E+00,-4.39E-22,7.70E-18,9.65E-19,8.66E-18,0,0,0,-1.0987325,0,19243.059,2412.4941,0,21654.455,0,7.80E-11,0,0,0,0,7.80E-11
5.16,0.9529727,0.022145797,-0.002885151,0,0,0,0,0,-3.61E-06,-0.048767105,-9.77E-04,0.00230143,-0.048767094,-9.77E-04,0.002297823,3.03E-11,-7.45E-11,-2.79E-11,0.00E+00,0.00E+00,0.00E+00,-2.39E-22,7.59E-18,1.07E-18,8.65E-18,0,0,0,-0.5970113,0,18973.023,2663.1575,0,21635.582,0,7.80E-11,0,0,0,0,7.80E-11
5.17,0.9470575,0.025403941,-0.003457217,0,0,0,0,0,-4.32E-06,-0.04817564,-1.09E-03,0.002824931,-0.048175637,-1.09E-03,0.00282061,8.38E-11,-8.38E-11,-7.45E-11,0.00E+00,0.00E+00,0.00E+00,-2.21E-22,7.53E-18,1.12E-18,8.65E-18,0,0,0,-0.5531531,0,18813.037,2808.8618,0,21621.346,0,7.80E-11,0,0,0,0,7.80E-11
5.18,0.9392086,0.029209664,-0.004190079,0,0,0,0,0,-5.24E-06,-0.047117308,-1.18E-03,0.003483179,-0.047117308,-1.18E-03,0.003477941,7.45E-11,2.79E-11,-1.86E-11,0.00E+00,0.00E+00,0.00E+00,-4.97E-22,7.56E-18,1.08E-18,8.64E-18,0,0,0,-1.2412663,0,18909.74,2692.7312,0,21601.23,0,7.80E-11,0,0,0,0,7.80E-11
5.19,0.9281052,0.033306744,-4.95E-03,0,0,0,0,0,-6.18E-06,-0.045305826,-1.29E-03,0.004162751,-0.04530583,-1.29E-03,0.00415657,1.86E-11,-8.38E-11,3.73E-11,0.00E+00,0.00E+00,0.00E+00,-7.77E-22,7.54E-18,1.09E-18,8.63E-18,0,0,0,-1.9436835,0,18857.568,2715.8384,0,21571.46,0,7.80E-11,0,0,0,0,7.80E-11
5.2,0.91188943,0.038130112,-0.005571043,0,0,0,0,0,-6.96E-06,-0.04271648,-0.0014676,0.004782372,-0.04271648,-0.0014676,0.004775407,0.00E+00,9.31E-12,-8.38E-11,0.00E+00,0.00E+00,0.00E+00,-8.64E-22,7.42E-18,1.20E-18,8.61E-18,0,0,0,-2.1605148,0,18548.996,2988.5376,0,21535.373,0,7.80E-11,0,0,0,0,7.80E-11
5.21,0.8909008,0.044329096,-0.00618689,0,0,0,0,0,-7.73E-06,-0.04013985,-0.001744636,0.005431445,-0.040139858,-0.001744637,0.005423712,-1.86E-11,-2.79E-11,1.86E-11,0.00E+00,0.00E+00,0.00E+00,-6.03E-22,7.27E-18,1.33E-18,8.60E-18,0,0,0,-1.507988,0,18167.95,3332.8396,0,21499.283,0,7.80E-11,0,0,0,0,7.80E-11
5.22,0.8736581,0.051111225,-0.007090235,0,0,0,0,0,-8.86E-06,-0.038933802,-2.09E-03,0.006244498,-0.038933802,-2.09E-03,0.006235635,-9.31E-11,6.05E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.91E-22,7.24E-18,1.35E-18,8.59E-18,0,0,0,-0.97636056,0,18093.863,3381.7073,0,21474.596,0,7.80E-11,0,0,0,0,7.80E-11
5.23,0.8615665,0.059987303,-0.008527644,0,0,0,0,0,-1.07E-05,-0.038694113,-0.002556682,0.007393573,-0.038694117,-0.002556682,0.007382913,-2.79E-11,-1.30E-10,-3.73E-11,0.00E+00,0.00E+00,0.00E+00,-3.29E-22,7.29E-18,1.29E-18,8.58E-18,0,0,0,-0.8217621,0,18218.244,3236.7593,0,21454.186,0,7.80E-11,0,0,0,0,7.80E-11
5.24,0.857482,0.07008284,-0.009804582,0,0,0,0,0,-1.23E-05,-0.038713954,-0.00309319,0.008353317,-0.038713954,-0.00309319,0.008341063,4.66E-11,3.73E-11,5.59E-11,0.00E+00,0.00E+00,0.00E+00,-3.65E-22,7.29E-18,1.29E-18,8.57E-18,0,0,0,-0.9130465,0,18222.578,3215.2842,0,21436.947,0,7.80E-11,0,0,0,0,7.80E-11
5.25,0.8600843,0.08294507,-0.010335309,0,0,0,0,0,-1.29E-05,-0.03864402,-0.003752963,0.008741454,-0.03864402,-0.003752963,0.008728535,5.59E-11,-8.38E-11,-1.12E-10,0.00E+00,0.00E+00,0.00E+00,-5.71E-22,7.24E-18,1.33E-18,8.57E-18,0,0,0,-1.4284462,0,18101.002,3314.0432,0,21413.617,0,7.80E-11,0,0,0,0,7.80E-11
5.26,0.8666845,0.095346965,-9.61E-03,0,0,0,0,0,-1.20E-05,-0.038761962,-0.0043454,0.00819717,-0.038761966,-0.0043454,0.008185154,-1.30E-10,1.12E-10,-7.45E-11,0.00E+00,0.00E+00,0.00E+00,-7.49E-22,7.18E-18,1.38E-18,8.55E-18,0,0,0,-1.8722159,0,17942.438,3443.7139,0,21384.277,0,7.80E-11,0,0,0,0,7.80E-11
5.27,0.87572336,0.10776445,-0.008032047,0,0,0,0,0,-1.00E-05,-0.039535407,-0.00484725,0.006946943,-0.039535403,-0.00484725,0.006936903,7.45E-11,-9.31E-12,1.86E-11,0.00E+00,0.00E+00,0.00E+00,-8.72E-22,7.15E-18,1.39E-18,8.54E-18,0,0,0,-2.1805282,0,17873.49,3476.376,0,21347.686,0,7.80E-11,0,0,0,0,7.80E-11
5.28,0.88390785,0.11743182,-0.006888398,0,0,0,0,0,-8.61E-06,-0.040754896,-0.005121724,0.005955689,-0.040754892,-0.005121724,0.005947078,-1.23E-10,-3.26E-11,-3.73E-11,0.00E+00,0.00E+00,0.00E+00,-9.99E-22,7.19E-18,1.33E-18,8.52E-18,0,0,0,-2.4983168,0,17983.639,3331.0498,0,21312.193,0,7.80E-11,0,0,0,0,7.80E-11
5.29,0.8899639,0.12580518,-0.006756781,0,0,0,0,0,-8.45E-06,-0.041986838,-5.25E-03,0.005723559,-0.041986838,-5.25E-03,0.005715113,6.05E-11,9.31E-11,1.68E-10,0.00E+00,0.00E+00,0.00E+00,-1.04E-21,7.23E-18,1.28E-18,8.51E-18,0,0,0,-2.5961404,0,18085.143,3192.4194,0,21274.967,0,7.80E-11,0,0,0,0,7.80E-11
5.3,0.8909754,0.13230051,-0.007623136,0,0,0,0,0,-9.53E-06,-0.042593207,-0.005300442,0.00640082,-0.042593207,-0.005300442,0.006391292,2.79E-11,-1.02E-10,1.86E-10,0.00E+00,0.00E+00,0.00E+00,-1.13E-21,7.27E-18,1.22E-18,8.50E-18,0,0,0,-2.8291175,0,18183.65,3061.3516,0,21242.172,0,7.80E-11,0,0,0,0,7.80E-11
5.31,0.88569945,0.13887547,-0.008728637,0,0,0,0,0,-1.09E-05,-0.04243047,-0.005382105,0.007485273,-0.04243047,-0.005382104,0.007474363,7.45E-11,0.00E+00,1.49E-10,0.00E+00,0.00E+00,0.00E+00,-1.34E-21,7.30E-18,1.19E-18,8.48E-18,0,0,0,-3.3507693,0,18237.518,2971.9878,0,21206.152,0,7.80E-11,0,0,0,0,7.80E-11
5.32,0.8707697,0.14695472,-9.02E-03,0,0,0,0,0,-1.13E-05,-0.041132513,-0.00560169,0.007983947,-0.041132513,-0.00560169,0.007972667,-7.45E-11,-9.31E-12,-1.12E-10,0.00E+00,0.00E+00,0.00E+00,-1.53E-21,7.19E-18,1.27E-18,8.46E-18,0,0,0,-3.82195,0,17976.494,3187.1704,0,21159.84,0,7.80E-11,0,0,0,0,7.80E-11
5.33,0.8482855,0.15477473,-0.00740512,0,0,0,0,0,-9.26E-06,-0.039159045,-6.12E-03,0.00672178,-0.03915904,-6.12E-03,0.006712523,7.45E-11,9.31E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.46E-21,7.02E-18,1.43E-18,8.44E-18,0,0,0,-3.6622925,0,17544.846,3570.5356,0,21111.717,0,7.80E-11,0,0,0,0,7.80E-11
5.34,0.81986284,0.16169848,-0.003379729,0,0,0,0,0,-4.22E-06,-0.03686637,-7.06E-03,0.003340187,-0.036866367,-7.06E-03,0.003335963,1.12E-10,7.45E-11,-9.31E-11,0.00E+00,0.00E+00,0.00E+00,-1.53E-21,6.95E-18,1.47E-18,8.42E-18,0,0,0,-3.816952,0,17377.596,3686.1797,0,21059.957,0,7.80E-11,0,0,0,0,7.80E-11
5.35,0.7853037,1.65E-01,0.002583298,0,0,0,0,0,3.23E-06,-0.033917278,-8.16E-03,-0.001722805,-0.033917274,-8.16E-03,-0.001719576,-8.38E-11,1.86E-11,3.73E-11,0.00E+00,0.00E+00,0.00E+00,-1.53E-21,6.88E-18,1.52E-18,8.40E-18,0,0,0,-3.8310132,0,17198.3,3805.776,0,21000.248,0,7.80E-11,0,0,0,0,7.80E-11
5.36,0.7529281,0.16303587,0.007753262,0,0,0,0,0,9.69E-06,-0.031099036,-0.008827498,-0.00625393,-0.031099036,-0.008827498,-0.006244239,5.59E-11,-1.86E-11,1.12E-10,0.00E+00,0.00E+00,0.00E+00,-1.27E-21,6.75E-18,1.63E-18,8.38E-18,0,0,0,-3.1838062,0,16869.965,4079.249,0,20946.03,0,7.80E-11,0,0,0,0,7.80E-11
5.37,0.72386724,0.15484676,1.20E-02,0,0,0,0,0,1.50E-05,-0.02918721,-0.009002237,-1.00E-02,-0.029187208,-0.009002236,-1.00E-02,3.73E-11,0.00E+00,1.12E-10,0.00E+00,0.00E+00,0.00E+00,-1.07E-21,6.68E-18,1.67E-18,8.36E-18,0,0,0,-2.6756885,0,16711.318,4185.264,0,20893.904,0,7.80E-11,0,0,0,0,7.80E-11
5.38,0.6982931,0.1409929,0.016545175,0,0,0,0,0,2.07E-05,-0.028503623,-0.008565277,-0.01370466,-0.028503621,-0.008565277,-0.013683979,2.79E-11,9.78E-11,3.73E-11,0.00E+00,0.00E+00,0.00E+00,-1.35E-21,6.72E-18,1.62E-18,8.33E-18,0,0,0,-3.3686852,0,16787.64,4050.8394,0,20835.111,0,7.80E-11,0,0,0,0,7.80E-11
5.39,0.6793695,0.1240649,0.021343045,0,0,0,0,0,2.67E-05,-0.028335059,-7.39E-03,-0.01716423,-0.028335059,-7.39E-03,-0.017137552,0.00E+00,9.31E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.67E-21,6.67E-18,1.64E-18,8.31E-18,0,0,0,-4.1859202,0,16675.574,4104.287,0,20775.674,0,7.80E-11,0,0,0,0,7.80E-11
5.4,0.66340804,0.1008549,2.58E-02,0,0,0,0,0,3.23E-05,-0.027753484,-5.31E-03,-0.020512182,-0.027753487,-5.31E-03,-0.0204799,7.45E-11,2.79E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.81E-21,6.46E-18,1.82E-18,8.28E-18,0,0,0,-4.5186567,0,16161.162,4551.667,0,20708.312,0,7.80E-11,0,0,0,0,7.80E-11
5.41,0.6540692,0.07574282,2.74E-02,0,0,0,0,0,3.43E-05,-0.026992919,-3.11E-03,-2.22E-02,-0.026992919,-3.11E-03,-2.22E-02,0.00E+00,-3.73E-11,-7.92E-11,0.00E+00,0.00E+00,0.00E+00,-1.59E-21,6.27E-18,1.99E-18,8.26E-18,0,0,0,-3.9671044,0,15670.225,4981.9536,0,20648.21,0,7.80E-11,0,0,0,0,7.80E-11
5.42,0.65194565,0.04924532,0.026164565,0,0,0,0,0,3.27E-05,-0.026752597,-1.16E-03,-0.02208102,-0.026752597,-1.16E-03,-0.022048317,-9.31E-11,-5.59E-11,-3.73E-11,0.00E+00,0.00E+00,0.00E+00,-1.14E-21,6.18E-18,2.06E-18,8.24E-18,0,0,0,-2.8462698,0,15449.397,5148.1753,0,20594.727,0,7.80E-11,0,0,0,0,7.80E-11
5.43,0.6598004,0.020584887,0.02306332,0,0,0,0,0,2.88E-05,-0.027519232,5.09E-04,-2.06E-02,-0.027519232,5.09E-04,-2.05E-02,-5.59E-11,-7.45E-11,1.40E-11,0.00E+00,0.00E+00,0.00E+00,-7.85E-22,6.24E-18,1.98E-18,8.22E-18,0,0,0,-1.9636672,0,15607.398,4940.859,0,20546.295,0,7.80E-11,0,0,0,0,7.80E-11
5.44,0.6778428,-0.007935783,0.019002711,0,0,0,0,0,2.38E-05,-0.028972955,1.77E-03,-0.017956141,-0.028972957,1.77E-03,-0.017932387,-1.12E-10,9.31E-12,2.79E-11,0.00E+00,0.00E+00,0.00E+00,-8.16E-22,6.44E-18,1.76E-18,8.20E-18,0,0,0,-2.041124,0,16104.699,4396.14,0,20498.797,0,7.80E-11,0,0,0,0,7.80E-11
5.45,0.6995975,-3.34E-02,0.014690084,0,0,0,0,0,1.84E-05,-0.030586476,2.71E-03,-0.014797354,-0.030586474,2.71E-03,-0.01477899,1.86E-11,1.49E-10,-1.12E-10,0.00E+00,0.00E+00,0.00E+00,-1.01E-21,6.63E-18,1.55E-18,8.18E-18,0,0,0,-2.5269175,0,16570.35,3881.2134,0,20449.037,0,7.80E-11,0,0,0,0,7.80E-11
5.46,0.72168124,-0.056862827,0.010596528,0,0,0,0,0,1.32E-05,-0.03201379,3.35E-03,-0.011819583,-0.032013785,3.35E-03,-0.011806338,-3.73E-11,1.49E-10,1.86E-11,0.00E+00,0.00E+00,0.00E+00,-1.28E-21,6.74E-18,1.41E-18,8.16E-18,0,0,0,-3.2086651,0,16861.488,3534.6404,0,20392.92,0,7.80E-11,0,0,0,0,7.80E-11
5.47,0.7418625,-0.0785812,0.006920534,0,0,0,0,0,8.65E-06,-0.032895423,3.59E-03,-0.00913189,-0.032895427,3.59E-03,-0.00912324,3.73E-11,1.86E-11,1.86E-11,0.00E+00,0.00E+00,0.00E+00,-1.50E-21,6.74E-18,1.39E-18,8.13E-18,0,0,0,-3.7477903,0,16846.03,3485.3284,0,20327.61,0,7.80E-11,0,0,0,0,7.80E-11
5.48,0.7550803,-0.09433854,0.004257533,0,0,0,0,0,5.32E-06,-0.033232838,3.58E-03,-0.006567377,-0.033232838,3.58E-03,-0.006562057,7.45E-11,7.45E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.52E-21,6.65E-18,1.46E-18,8.11E-18,0,0,0,-3.7875354,0,16632.225,3637.9143,0,20266.352,0,7.80E-11,0,0,0,0,7.80E-11
5.49,0.763048,-0.10551514,0.002151646,0,0,0,0,0,2.69E-06,-0.033530965,3.61E-03,-0.003730792,-0.03353096,3.61E-03,-0.003728102,5.59E-11,-7.45E-11,8.38E-11,0.00E+00,0.00E+00,0.00E+00,-1.35E-21,6.55E-18,1.53E-18,8.08E-18,0,0,0,-3.3657138,0,16369.295,3836.3005,0,20202.23,0,7.80E-11,0,0,0,0,7.80E-11
5.5,0.7662038,-0.10988512,0.000562057,0,0,0,0,0,7.03E-07,-0.03364098,0.003689663,-0.001478465,-0.03364098,0.003689663,-0.001477763,-3.73E-11,5.59E-11,-8.38E-11,0.00E+00,0.00E+00,0.00E+00,-9.55E-22,6.42E-18,1.64E-18,8.06E-18,0,0,0,-2.3869076,0,16062.143,4091.0645,0,20150.82,0,7.80E-11,0,0,0,0,7.80E-11
5.51,0.7698654,-0.10813021,-0.0012482,0,0,0,0,0,-1.56E-06,-0.033414353,3.66E-03,0.000744151,-0.033414356,3.66E-03,0.00074259,9.31E-11,0.00E+00,-2.33E-11,0.00E+00,0.00E+00,0.00E+00,-6.91E-22,6.33E-18,1.71E-18,8.04E-18,0,0,0,-1.726783,0,15836.022,4271.1553,0,20105.451,0,7.80E-11,0,0,0,0,7.80E-11
5.52,0.77666277,-0.10054508,-0.003061741,0,0,0,0,0,-3.83E-06,-0.033382818,0.003421183,0.003117817,-0.033382818,0.003421183,0.00311399,-1.12E-10,-8.38E-11,2.79E-11,0.00E+00,0.00E+00,0.00E+00,-7.68E-22,6.36E-18,1.67E-18,8.03E-18,0,0,0,-1.9191444,0,15893.5625,4172.2246,0,20063.867,0,7.80E-11,0,0,0,0,7.80E-11
5.53,0.78618413,-0.0876553,-4.96E-03,0,0,0,0,0,-6.20E-06,-0.03416802,0.003061013,0.00580128,-0.03416802,0.003061013,0.005795078,-1.30E-10,-1.49E-10,-4.66E-11,0.00E+00,0.00E+00,0.00E+00,-8.75E-22,6.42E-18,1.58E-18,8.01E-18,0,0,0,-2.18678,0,16059.145,3960.3115,0,20017.271,0,7.80E-11,0,0,0,0,7.80E-11
5.54,0.7969237,-0.069791034,-0.007018592,0,0,0,0,0,-8.77E-06,-0.03573696,0.002683625,0.008439489,-0.035736956,0.002683625,0.008430716,-5.59E-11,-4.66E-11,-6.52E-11,0.00E+00,0.00E+00,0.00E+00,-8.91E-22,6.52E-18,1.46E-18,7.99E-18,0,0,0,-2.2280295,0,16310.165,3657.491,0,19965.43,0,7.80E-11,0,0,0,0,7.80E-11
5.55,0.80464476,-0.05224621,-0.008748103,0,0,0,0,0,-1.09E-05,-0.03694895,0.002541303,0.01026076,-0.03694895,0.002541303,0.010249826,4.66E-11,9.31E-11,3.73E-11,0.00E+00,0.00E+00,0.00E+00,-9.41E-22,6.62E-18,1.35E-18,7.97E-18,0,0,0,-2.3526888,0,16539.771,3381.355,0,19918.773,0,7.80E-11,0,0,0,0,7.80E-11
5.56,0.8077159,-0.035238333,-0.010483966,0,0,0,0,0,-1.31E-05,-0.03743217,0.002562008,0.011712573,-0.03743217,0.002562009,0.011699467,6.52E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-9.97E-22,6.63E-18,1.32E-18,7.95E-18,0,0,0,-2.4927404,0,16585.502,3288.8325,0,19871.842,0,7.80E-11,0,0,0,0,7.80E-11
5.57,0.8040855,-0.017307324,-0.012685219,0,0,0,0,0,-1.59E-05,-0.0372268,2.32E-03,0.013030726,-0.037226804,2.32E-03,0.013014871,0.00E+00,-1.58E-10,8.38E-11,0.00E+00,0.00E+00,0.00E+00,-9.43E-22,6.60E-18,1.33E-18,7.93E-18,0,0,0,-2.3587313,0,16490.145,3332.009,0,19819.793,0,7.80E-11,0,0,0,0,7.80E-11
5.58,0.79242706,0.001552796,-0.014828051,0,0,0,0,0,-1.85E-05,-0.036426727,1.34E-03,0.014034365,-0.03642673,1.34E-03,0.014015829,5.59E-11,1.86E-11,-1.02E-10,0.00E+00,0.00E+00,0.00E+00,-1.14E-21,6.55E-18,1.35E-18,7.91E-18,0,0,0,-2.8470354,0,16387.24,3380.7563,0,19765.148,0,7.80E-11,0,0,0,0,7.80E-11
5.59,0.77388567,0.019657474,-1.59E-02,0,0,0,0,0,-1.99E-05,-0.035128795,-3.34E-05,1.43E-02,-0.035128795,-3.34E-05,1.42E-02,9.31E-11,-1.86E-11,7.45E-11,0.00E+00,0.00E+00,0.00E+00,-1.21E-21,6.52E-18,1.37E-18,7.88E-18,0,0,0,-3.0211701,0,16296.567,3417.6592,0,19711.203,0,7.80E-11,0,0,0,0,7.80E-11
5.6,0.7457368,0.037515633,-0.016015017,0,0,0,0,0,-2.00E-05,-0.033078644,-1.61E-03,0.01368266,-0.033078644,-1.61E-03,0.013662641,-3.73E-11,3.73E-11,1.86E-11,0.00E+00,0.00E+00,0.00E+00,-1.04E-21,6.41E-18,1.45E-18,7.86E-18,0,0,0,-2.5949306,0,16035.227,3620.5234,0,19653.156,0,7.80E-11,0,0,0,0,7.80E-11
